filename,not_taken_1_cycles,not_taken_1_executed,not_taken_1_prediction_accuracy,not_taken_4_cycles,not_taken_4_executed,not_taken_4_prediction_accuracy,one_bit_1_cycles,one_bit_1_executed,one_bit_1_prediction_accuracy,one_bit_4_cycles,one_bit_4_executed,one_bit_4_prediction_accuracy,two_bit_1_cycles,two_bit_1_executed,two_bit_1_prediction_accuracy,two_bit_4_cycles,two_bit_4_executed,two_bit_4_prediction_accuracy
programs/adds.asm,15,10,1.0,4,10,1.0,914,902,0.9777777777777777,230,902,0.9777777777777777,918,902,0.9666666666666667,231,902,0.9666666666666667
programs/pi.asm,31,15,1.0,8,15,1.0,6424,6109,0.9821428571428571,1608,6109,0.9821428571428571,6427,6109,0.9811507936507936,1609,6109,0.9811507936507936
programs/gcd_iterative.asm,9,2,1.0,3,2,1.0,121,77,0.8727272727272728,34,77,0.8727272727272728,122,77,0.8545454545454545,34,77,0.8545454545454545
programs/bubblesort.asm,9,2,1.0,3,2,1.0,5875,3192,0.7050183598531212,1554,3192,0.7050183598531212,5882,3192,0.7037943696450428,1556,3192,0.7037943696450428
programs/mat_mul_vec.asm,25,11,1.0,7,11,1.0,1358,1032,0.8,345,1032,0.8,1375,1032,0.7818181818181819,350,1032,0.7818181818181819
programs/vector_adds.asm,18,7,1.0,5,7,1.0,204,177,0.9310344827586207,53,177,0.9310344827586207,212,177,0.896551724137931,55,177,0.896551724137931
programs/vector_adds_unrolled.asm,162,150,1,41,150,1,162,150,1,41,150,1,162,150,1,41,150,1
programs/mat_mul.asm,28,15,1.0,7,15,1.0,8774,6874,0.75,2268,6874,0.75,8795,6874,0.7448630136986301,2274,6874,0.7448630136986301
programs/scheduling_block.asm,14,8,1,4,8,1,14,8,1,4,8,1,14,8,1,4,8,1
programs/simple_bubblesort.asm,9,2,1.0,3,2,1.0,331,178,0.6666666666666667,89,178,0.6666666666666667,353,178,0.6,95,178,0.6
